Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762339102,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762339103,5,,Aggregated,0.000000,0.000000,180,180,180,240,290,290,290,290,290,290,290,10,0,78,138.6220606007555,47.427973004232626,289.2534170023282,8069.0
1762339104,10,,Aggregated,0.000000,0.000000,180,200,240,290,320,360,410,410,410,410,410,21,0,180.0,182.2939048101294,47.427973004232626,406.76131899817847,11436.285714285714
1762339105,15,,Aggregated,0.000000,0.000000,180,220,250,290,330,370,410,410,410,410,410,32,0,160.0,177.63669228156687,47.427973004232626,406.76131899817847,11015.28125
1762339106,20,,Aggregated,7.000000,0.000000,130,180,200,240,320,360,410,410,410,410,410,45,0,130.0,153.37189115574196,11.040693003451452,406.76131899817847,10687.666666666666
1762339107,25,,Aggregated,8.666667,0.000000,91,130,180,190,290,330,370,410,410,410,410,63,0,91,128.18897998439508,11.040693003451452,406.76131899817847,10188.349206349207
1762339108,30,,Aggregated,10.750000,0.000000,90,120,150,180,250,330,370,410,410,410,410,79,0,90,118.04403179775352,11.040693003451452,406.76131899817847,10156.620253164558
1762339109,35,,Aggregated,11.200000,0.000000,82,120,130,150,230,320,370,410,410,410,410,99,0,82,104.76578946492572,11.040693003451452,406.76131899817847,9734.424242424242
1762339110,40,,Aggregated,11.833333,0.000000,98,120,160,190,290,330,370,380,410,410,410,120,0,94,121.54281704182115,11.040693003451452,406.76131899817847,9769.958333333334
1762339111,45,,Aggregated,12.714286,0.000000,96,120,150,170,250,320,370,380,410,410,410,141,0,96,115.92913851793567,7.362178002949804,406.76131899817847,9794.90780141844
1762339112,50,,Aggregated,12.625000,0.000000,90,120,130,150,240,300,360,380,410,410,410,163,0,90,108.44939465656309,7.362178002949804,406.76131899817847,9850.865030674846
1762339113,50,,Aggregated,13.888889,0.000000,94,120,140,160,250,300,360,380,410,410,410,179,0,94,112.28442634085964,7.362178002949804,406.76131899817847,9691.189944134077
1762339114,50,,Aggregated,15.000000,0.000000,90,120,140,150,240,300,360,380,410,410,410,195,0,90,107.45433315389211,7.362178002949804,406.76131899817847,9638.307692307691
1762339115,50,,Aggregated,16.500000,0.000000,90,120,130,150,230,300,330,370,410,410,410,220,0,89,105.53547710002353,7.362178002949804,406.76131899817847,9280.886363636364
1762339116,50,,Aggregated,16.800000,0.000000,80,110,130,140,220,290,330,370,410,410,410,236,0,79,100.72621638135973,7.362178002949804,406.76131899817847,9198.419491525423
